DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170329,4552.808114886926,-14.298563986054445,-6.091424404734324,0.20727932545123304,1.5680734898519657,-3.366496071532934
20170330,4907.49180034658,-13.029727667539388,-5.935657115808944,0.24812717661166842,1.5181649399611081,-3.51298739646768
20170331,3456.006388092389,-12.88389172783079,-5.7786227789170805,0.22437381815296736,1.4167263656996298,-3.170783130627404
20170401,4425.098397759152,-12.880121495302237,-4.496046719110897,0.30204439066781597,1.4055899187380758,-3.448795912117571
20170402,4630.812657305627,-12.580805672486699,-4.9806137145539315,0.27140079765938185,1.5285856401616438,-2.840830606328896
20170403,3965.4581272334285,-11.758005498209725,-4.780901824169019,0.32147998496217517,1.3041086965728317,-3.032282721032888
20170404,4054.7541974411192,-12.071389532267608,-3.5633776908033745,0.31530287448611843,1.2149225307075298,-3.287786468582514
20170405,4411.953722012761,-11.81981915260555,-3.356099000355035,0.3267172575681679,1.0981180802566863,-4.477691786179836
20170406,4207.741707821146,-11.72652075405642,-3.576601974553915,0.32422627941873194,0.8323329950242577,-3.9901623822966084
20170407,4372.928888209293,-11.047508181982524,-2.175128083686182,0.36502446437164165,0.8595531436948876,-3.6028288928912615
20170408,4073.373660221245,-11.098765337587741,-2.4262611129160003,0.39757985418971453,1.0364981030523914,-3.806937266932588
20170409,5342.403467587822,-11.001938563547554,-1.5382037095425811,0.393610049998521,0.9363733087336538,-4.11569184257542
20170410,4971.559501528375,-9.797925882374551,-0.7287392871102798,0.42575375700299095,0.6460789747061657,-3.3592695737888
20170411,5118.659792023839,-10.418446178714316,0.002056541209976438,0.4556288035729799,0.919954855154269,-4.255889839703787
20170412,5853.274351465237,-9.654104172659233,0.5183916506493197,0.47363105311811193,0.49186568492860866,-4.423806031879665
20170413,5869.278016814596,-8.968889870925613,0.9577716038932826,0.49029132454400526,0.7412395536669001,-4.734630738524124
20170414,6013.121676958583,-7.613819307458806,0.6483771318390159,0.499375634301185,0.49375868249017335,-4.695289254290855
20170415,6393.977976401802,-7.893313261933874,1.7846726195247191,0.5292185651273522,0.6656741805861366,-4.390005551253624
20170416,7040.332634726632,-7.461235785139832,1.7481107160155267,0.5171033196020375,0.32216710502213275,-4.287468406344509
20170417,7432.561689402296,-7.213704129011514,2.110774249738448,0.5331439538886303,0.4806493355311954,-4.6181896712579
20170418,7001.067568492053,-6.891757621406446,3.3323003838126586,0.5577249064805061,0.6087837929053163,-4.72992459991049
20170419,7781.367604601945,-7.114556470775153,3.9490475347311267,0.5517471016200006,0.3189083297454026,-4.874341092230022
20170420,8687.989623043946,-5.973987732519018,4.276688543456823,0.563704817438457,0.11240396924512883,-5.2302154126305505
20170421,9188.517900416806,-5.94896149987419,5.399691979686026,0.6034664713518639,0.225637567035884,-4.615568123160539
20170422,8053.726793216446,-5.451026153792846,5.025733303281984,0.6213990070866809,0.35570206240161595,-4.56854821566622
20170423,9115.917066960454,-4.925462289930922,5.650614785200843,0.6629570158049461,0.4735602537085817,-4.466291107486606
20170424,9012.299556722457,-4.639697828387919,6.309656988274436,0.6597180085551937,0.24735375274706983,-5.21321029093589
20170425,9195.22206342963,-4.758488019987076,5.956020172385813,0.6967622270017864,0.3143643143090579,-4.8128912518305444
20170426,10391.457059199394,-4.60433019665967,6.074438760522755,0.6756451316099088,0.2550297662587493,-4.484315687069887
20170427,10004.450759181298,-4.058756637152602,6.562943836549581,0.7122470614192389,0.21721374376682245,-4.200896063059728
20170428,10916.525914880327,-3.6854718197543535,6.271369905736254,0.7483540853059463,0.12400006074953092,-4.6345780937167556
20170429,10608.528667164306,-3.8279177093278847,7.709430372853944,0.7630967418625106,0.1433776806265582,-4.772480866561765
