DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170311,11014.573189367167,-7.6305764169196255,-0.8186932907122273,0.5821394376820912,3.6975816105796753,2.0342368046701225
20170312,11287.039168396386,-7.493585938718445,-0.6333675118129953,0.5882265225929465,3.7682785583570677,2.3492946499091905
20170313,11366.052162730208,-7.488911252087171,-0.6466027151094611,0.5882998927950018,3.8743108466350735,2.2423171941238778
20170314,11401.835878565595,-7.553225333095721,-0.5494322639741291,0.5785639786549748,3.808748862645908,2.370494556432638
20170315,11895.05670621538,-7.485704802131898,-0.3455252107490576,0.5685768207535871,3.7515051001304407,2.003664692305768
20170316,11821.574924877328,-7.051736360812399,-0.1759475156047028,0.5762529204266611,3.8038238245034837,2.4796251554265925
20170317,12026.268869151694,-6.750067956423919,0.1659505207556755,0.5772852894940561,3.8644877962531368,2.429657070572668
20170318,11878.646198947372,-6.668282155782947,0.42225488068127426,0.5845682597903172,3.9954728178094534,2.5808642482026602
20170319,12005.17228622278,-6.538102402792971,0.5705331183287843,0.5921470544839853,4.048413268160324,2.960541828819603
20170320,11937.244633559287,-6.532595009076818,0.5300684915289899,0.5946866332550997,4.1312950007881,2.9084113237750437
20170321,11828.429098277782,-6.587740787920101,0.6116881161966763,0.5883795722600076,4.037550087228945,3.0798687007734533
20170322,12182.73819974915,-6.502163958505969,0.8133889175943674,0.5827481695107621,3.9475376747687103,2.74322140068554
20170323,11979.299179166232,-6.04086147287764,0.9955205489721006,0.5956480956859083,3.9630255753863013,3.2350468271806516
20170324,12066.096539967702,-5.702373221832947,1.365847456867062,0.6026919041666062,3.9833873617357582,3.1857549735525836
20170325,11815.505380611266,-5.574269918401161,1.6672259660826967,0.6166739221224726,4.071245913096713,3.3219569729036267
20170326,11856.547608464607,-5.388468780607169,1.8776144160287283,0.6315224672669412,4.078926787333417,3.6708530676523043
20170327,11722.801872928543,-5.318439459004023,1.9162817251442883,0.6417718280122976,4.115138036249823,3.5724762515848
20170328,11569.584709085833,-5.30077387778308,2.0936204996699326,0.6434736787530377,3.974051213555299,3.682937916318047
20170329,11902.184634037309,-5.134907546131618,2.406769105747543,0.6460030194149664,3.8367681302664227,3.2716513794512605
20170330,11700.498036118543,-4.586835596770338,2.7148022056967216,0.6670658484465933,3.8057882739854767,3.6766661349458394
20170331,11812.75243010575,-4.156264285392886,3.2238119407996813,0.6821267661001692,3.7811919733206327,3.530196090269368
20170401,11611.033885917606,-3.9320751932645153,3.674615305843064,0.7038379102037682,3.826270554764642,3.5609444617430954
20170402,11723.550852730488,-3.6476128523509415,4.042805094571592,0.7259950502792099,3.7939671640091768,3.7984399706273275
20170403,11682.564983916043,-3.4778589733147385,4.245008831246282,0.7430131633553769,3.793545149216676,3.58522196950351
20170404,11641.605862403358,-3.360967796341221,4.588760558693438,0.7508410566205246,3.6196590126947323,3.5800223991823907
20170405,12103.750435016122,-3.097951064186811,5.068188404888799,0.7587700304617435,3.453812713447279,3.054922170232881
20170406,12046.314746975415,-2.4563568812027623,5.539275721699106,0.7844437093658438,3.398820429041029,3.3506166274353117
20170407,12314.64202060409,-1.9373842333286537,6.205016107757556,0.8032871722085739,3.3549850091435975,3.1018752297755827
20170408,12277.702119761867,-1.631311456291257,6.803195879460903,0.8279367372160104,3.385725473913502,3.0397999838265806
20170409,12560.432668666066,-1.2727503889411007,7.306519332894096,0.8521962004277899,3.34401728663585,3.196099085718769
