DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20100206,8900.0,-22.79,-11.88,0.133545126848354,3.9,0.06,
20100207,8820.0,-21.96,-13.78,0.1477549075083619,4.55,0.05,
20100208,7260.0,-18.64,-11.74,0.1877936139274043,5.84,0.8199999999999998,
20100209,6780.0,-12.84,-7.56,0.2569450251279827,7.22,1.16,
20100210,4060.0,-11.81,-8.01,0.2627772170971174,7.56,3.45,
20100211,6480.0,-19.1,-11.43,0.1833185917468515,7.74,0.28,
20100212,4860.0,-20.85,-13.97,0.1485122232679032,8.8,0.06,
20100213,7700.0,-16.78,-8.56,0.2107968609961394,8.07,1.5,
20100214,4860.0,-10.02,-1.16,0.371812252656498,6.59,9.23,
20100215,2440.0,-6.81,-1.13,0.4272927922641943,3.66,0.56,
20100216,2750.0,-9.75,-3.27,0.3566304962418205,5.21,2.14,
20100217,8870.0,-11.51,-4.1,0.2984201199726861,1.43,0.33,
20100218,7190.0,-10.98,-3.29,0.343066617663483,3.14,0.4099999999999999,
20100219,7680.0,-10.14,-1.31,0.3621879633206022,4.38,0.13,
20100220,10880.0,-5.89,0.39,0.5007014336141731,4.73,7.13,
20100221,2700.0,0.19,0.35,0.6085809603857623,2.3,4.61,
20100222,2380.0,-6.55,0.31,0.4491553227928694,5.65,2.75,
20100223,8090.0,-11.37,0.05,0.3863779823335992,2.84,0.09,
20100224,11190.0,-5.9,0.48,0.4478026414236581,2.7,0.02,
20100225,11000.0,-6.61,0.37,0.4608001140320249,1.58,0.07,
20100226,11890.0,-7.92,-0.67,0.4008350760953394,2.62,0.1099999999999999,
20100227,10920.0,-8.77,-1.86,0.3857857746563786,3.78,0.1,
20100228,9810.0,-11.2,-1.68,0.3519663046781958,2.81,0.18,
20100301,6990.0,-5.41,0.37,0.5262399958707834,4.76,2.53,
20100302,9470.0,-2.49,0.34,0.5774078127011572,3.98,2.6500000000000004,
20100303,7160.0,-6.85,0.22,0.4441013646543358,2.45,0.03,
20100304,13320.0,-8.85,0.09,0.3700975358408939,1.7,0.13,
20100305,13170.0,-8.02,-0.38,0.402061214770726,1.68,0.26,
20100306,11400.0,-6.96,-2.42,0.3938489245297296,3.7,2.08,
20100307,11980.0,-7.25,-4.09,0.3752628509144833,5.75,2.6500000000000004,
20100308,14890.0,-13.97,-4.7,0.2868461339556636,2.56,0.32,
20100309,15820.0,-18.85,-4.67,0.2109698192365551,1.62,0.01,
20100310,15130.0,-17.41,-3.81,0.2530533392330049,3.12,0.06,
20100311,15990.0,-11.18,-0.07,0.3425337227333344,3.48,0.0,
20100312,12900.0,-8.02,-1.93,0.3884570656863116,2.96,3.17,
20100313,13960.0,-5.74,-1.33,0.4145067930913463,3.91,1.56,
20100314,16129.999999999998,-9.16,-1.42,0.3926450300722904,4.28,1.84,
20100315,14220.0,-11.01,-1.56,0.3605127074755239,3.29,2.19,
20100316,16090.0,-14.98,-3.81,0.2923508689544354,2.84,1.06,
20100317,15990.0,-17.49,-3.65,0.2613082356858579,2.5,0.37,
20100318,18060.0,-14.81,-3.14,0.2832276957143318,1.46,0.19,
20100319,14020.0,-15.79,0.5,0.3749742196166914,5.66,4.36,
20100320,13470.0,0.14,0.61,0.6112446654258243,4.83,0.35,
20100321,5800.0,0.34,0.73,0.6201982879613551,4.76,1.08,
20100322,6040.0,0.01,0.81,0.6112446654258243,4.95,2.12,
20100323,15680.0,-5.92,0.48,0.4709429983813982,3.32,0.04,
20100324,14310.0,-7.49,0.62,0.492558379192267,4.03,1.24,
20100325,17480.0,-4.2,0.48,0.5340836505302171,1.72,0.04,
20100326,13070.0,-5.9,0.98,0.4716497425342961,2.08,0.09,
